Nama_Obat,Zat_Aktif
CONCOR AM,BISOPROLOL FUMARATE
CONCOR AM,AMLODIPINE BESILATE
PRAXILENE,NAFTIDROFURYL OXALATE
GONAL - F 1050 IU (77 MCG),FOLLITROPIN ALFA
SAIZEN,SOMATROPIN
CRINONE,PROGESTERONE
KSR,POTASSIUM CHLORIDE
BIOCREAM,PARAFFIN
BIOCREAM,LIQUID
INNOVAIR NEXTHALER,BECLOMETASONE DIPROPIONATE
INNOVAIR NEXTHALER,FORMOTEROL FUMARATE DIHYDRATE
FLUIMUCIL 600 MG,ACETYLCYSTEINE
SEPTANEST 1:100.000,ARTICAINE HYDROCHLORIDE
SEPTANEST 1:100.000,EPINEPHRINE BITARTRATE
LIGNOSPAN 1:80.000,LIDOCAINE HYDROCHLORIDE
LIGNOSPAN 1:80.000,EPINEPHRINE BITARTRATE
PIL KB 1 KOMBINASI,LEVONORGESTREL
PIL KB 1 KOMBINASI,ETHINYLESTRADIOL
THROMBOGEL,HEPARIN SODIUM
INNOVAIR,FORMOTEROL FUMARATE DIHYDRATE
INNOVAIR,BECLOMETASONE DIPROPIONATE
METIAGIN,METHYLERGOMETRINE MALEATE
VOLDIAMER B6,PYRIDOXINE HYDROCHLORIDE
VOLDIAMER B6,PYRATHIAZINE THEOCLATE
CLONITIA 1 %,CLOTRIMAZOLE
MONURIL,FOSFOMYCIN TROMETAMOL
POSTINOR-2,LEVONORGESTREL
TIACINON,OXYTOCIN
PREGNABION,ALLYLESTRENOL
BABY CARE,DEXPANTHENOL
THROMBOPHOB,HEPARIN SODIUM
THROMBOPHOB,BENZYL NICOTINATE
TRICLOFEM,MEDROXYPROGESTERONE ACETATE
MICROBAR FOR ENEMA (DISPOSABLE KIT),BARIUM SULFATE
MYOVIEW,TETROFOSMIN
FLUIMUCIL,ACETYLCYSTEINE
CYCLOGYNON,LEVONORGESTREL
CYCLOGYNON,ETHINYLESTRADIOL
MICROBAR POWDER,BARIUM SULFATE
TIAVIT - K,PHYTOMENADIONE
EUDYNA,TRETINOIN
SPEDIFEN,IBUPROFEN
MAGNIDICON,MAGNESIUM HYDROXIDE
MAGNIDICON,SIMETHICONE
MAGNIDICON,DRIED ALUMINIUM HYDROXIDE GEL
MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE
TRIMBOW,GLYCOPYRRONIUM BROMIDE
TRIMBOW,FORMOTEROL FUMARATE DIHYDRATE
TRIMBOW,BECLOMETASONE DIPROPIONATE
ULTRAPROCT N,LIDOCAINE HYDROCHLORIDE
ULTRAPROCT N,FLUOCORTOLONE PIVALATE
CYCLOFEM,MEDROXYPROGESTERONE ACETATE
CYCLOFEM,ESTRADIOL CYPIONATE
FLUIMUCIL 600,ACETYLCYSTEINE
HIDONAC,ACETYLCYSTEINE
BOTOX,BOTULINUM TOXIN TYPE-A
PLATOGRIX,CLOPIDOGREL HYDROGEN SULFATE
OMNISCAN,GADODIAMIDE
OMNIPAQUE,IOHEXOL
VISIPAQUE,IODIXANOL
CLARISCAN,GADOTERATE MEGLUMINE
CYMEVENE,GANCICLOVIR SODIUM
CIPROLEX,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
CIPROFLOXACIN HCL,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
LEXAVON,BROMHEXINE HYDROCHLORIDE
MOLAFATE,SUCRALFATE
LEXICAM,PIROXICAM
LEXAGIN,METAMIZOLE SODIUM
PRITAGESIC,METAMIZOLE SODIUM
PRITAGESIC,KOMBINASI-KOMBINASI GRANUL VIT B1
PRITAGESIC,KOMBINASI-KOMBINASI GRANUL VIT B6
PRITAGESIC,"KOMBINASI-KOMBINASI GRANUL CYANOCOBALAMIN 0,49"
PRITAGESIC,THIAMINE HYDROCHLORIDE
PRITAGESIC,PYRIDOXINE HYDROCHLORIDE
PRITAGESIC,CYANOCOBALAMIN
LEXACORTON,HYDROCORTISONE ACETATE
THIAMFILEX,THIAMPHENICOL
PRITASMA,SALBUTAMOL SULFATE
MOLADERM,MICONAZOLE NITRATE
PRITAMOX,AMOXICILLIN TRIHYDRATE
MOLAGIT,ATTAPULGITE
MOLAGIT,PECTIN
LEXMODINE,FAMOTIDINE
MOFULEX,MOMETASONE FUROATE
OBH MOLEX,AMMONIUM CHLORIDE
OBH MOLEX,SUCCUS LIQUIRITIAE
ALPHAMOL,PARACETAMOL
LEXACORT,PREDNISONE
LEXADON,DOMPERIDONE MALEATE
DEXMOLEX,DEXTROMETHORPHAN HYDROBROMIDE
DEXMOLEX,DOXYLAMINE SUCCINATE
LEXAPROFEN,IBUPROFEN
"MOLACORT 0,5",DEXAMETHASONE
ANTASIDA DOEN,MAGNESIUM HYDROXIDE
ANTASIDA DOEN,DRIED ALUMINIUM HYDROXIDE GEL
GENTALEX,GENTAMICIN SULFATE
FUCILEX,FUSIDIC ACID
MOLEXFLU,PARACETAMOL
MOLEXFLU,PHENYLPROPANOLAMINE HYDROCHLORIDE
MOLEXFLU,CHLORPHENAMINE MALEATE
LEXAHIST,CYPROHEPTADINE HYDROCHLORIDE SESQUIHYDRATE
LEXATRANS 500,TRANEXAMIC ACID
MOLAZOL 500,METRONIDAZOLE
MOLASMA,TERBUTALINE SULFATE
MOLAVIR,ACICLOVIR
PRITALINC 500,LINCOMYCIN HYDROCHLORIDE
THIAMFILEX 500,THIAMPHENICOL
LEXADIUM,LOPERAMIDE HYDROCHLORIDE
MOLAPECT,AMBROXOL HYDROCHLORIDE
PRITACORT,DEXAMETHASONE
PRITACORT,DEXCHLORPHENIRAMINE MALEATE
LEXACROL,MAGNESIUM TRISILICATE
LEXACROL,SIMETHICONE
LEXACROL,DRIED ALUMINIUM HYDROXIDE GEL
INFATRIM,SULFAMETHOXAZOLE
INFATRIM,TRIMETHOPRIM
KLORFESON,CHLORAMPHENICOL
KLORFESON,PREDNISOLONE
FEXAZOL,KETOCONAZOLE
BEVALEX,NEOMYCIN SULFATE
BEVALEX,BETAMETHASONE VALERATE
NEO KAOMINAL,KAOLIN
NEO KAOMINAL,PECTIN
MOLEXDRYL,DIPHENHYDRAMINE HYDROCHLORIDE
MOLEXDRYL,AMMONIUM CHLORIDE
ALPARA,CHLORPHENAMINE MALEATE
ALPARA,PHENYLPROPANOLAMINE HYDROCHLORIDE
ALPARA,DEXTROMETHORPHAN HYDROBROMIDE
ALPARA,PARACETAMOL
CLATATIN,LORATADINE
DEXTRAL,PHENYLPROPANOLAMINE HYDROCHLORIDE
DEXTRAL,DEXTROMETHORPHAN HYDROBROMIDE
DEXTRAL,GUAIFENESIN
DEXTRAL,CHLORPHENAMINE MALEATE
LEXAPRAM,METOCLOPRAMIDE HYDROCHLORIDE MONOHYDRATE
LEXCOMET 4,METHYLPREDNISOLONE
PRITANOL 300,ALLOPURINOL
PRITANOL 100,ALLOPURINOL
INFATRIM FORTE,SULFAMETHOXAZOLE
INFATRIM FORTE,TRIMETHOPRIM
LEXAMET,CIMETIDINE
LEXIGO,BETAHISTINE MESILATE
"MOLACORT 0,75",DEXAMETHASONE
BROADAMOX,AMOXICILLIN TRIHYDRATE
MIRADON,DOMPERIDONE MALEATE
CARMESON 4,METHYLPREDNISOLONE
AXAPROFEN,PARACETAMOL
AXAPROFEN,IBUPROFEN
"CARBIDU 0,75",DEXAMETHASONE
ANTASIDA,MAGNESIUM HYDROXIDE
ANTASIDA,DRIED ALUMINIUM HYDROXIDE GEL
MIRASIC,PARACETAMOL
MILLSEN,PARACETAMOL
MILLSEN,PHENYLPROPANOLAMINE HYDROCHLORIDE
MILLSEN,GUAIFENESIN
MILLSEN,CHLORPHENAMINE MALEATE
HYOMIDA PLUS,PARACETAMOL
HYOMIDA PLUS,HYOSCINE BUTYLBROMIDE
FLUANZA,PARACETAMOL
FLUANZA,DEXTROMETHORPHAN HYDROBROMIDE
FLUANZA,PHENYLPROPANOLAMINE HYDROCHLORIDE
FLUANZA,CHLORPHENAMINE MALEATE
MANTINO,DIMENHYDRINATE
SAMCLOVIR,ACICLOVIR
BROADAPEN 500,AMPICILLIN TRIHYDRATE
CARSIDA,DRIED ALUMINIUM HYDROXIDE GEL
CARSIDA,MAGNESIUM HYDROXIDE
CARSIDA,SIMETHICONE
PRIMPEN,METOCLOPRAMIDE HYDROCHLORIDE
COPARCETIN KID COUGH,PARACETAMOL
COPARCETIN KID COUGH,GUAIFENESIN
COPARCETIN KID COUGH,CHLORPHENAMINE MALEATE
BROADAMOX 500,AMOXICILLIN TRIHYDRATE
CARDIPIN,AMLODIPINE BESILATE
MIRACLOVEN,DICLOFENAC POTASSIUM
CARGESIK,MEFENAMIC ACID
RETROFEN 100,KETOPROFEN
MIRATRIM,SULFAMETHOXAZOLE
MIRATRIM,TRIMETHOPRIM
MIRATRIM FORTE,SULFAMETHOXAZOLE
MIRATRIM FORTE,TRIMETHOPRIM
CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
PRIMODIAR,LOPERAMIDE HYDROCHLORIDE
ALSTEIN,ACETYLCYSTEINE
PURINIC,ALLOPURINOL
AXOFEN,IBUPROFEN
MIRABION,MANGANESE SULFATE
MIRABION,COPPER SULFATE
MIRABION,ASCORBIC ACID
MIRABION,FOLIC ACID
MIRABION,FERROUS GLUCONATE
MIRABION,CYANOCOBALAMIN
MIRADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
MIRADRYL,AMMONIUM CHLORIDE
OXCAM,MELOXICAM
MIRATADIN,LORATADINE
AMOXICILLIN,AMOXICILLIN TRIHYDRATE
MIRASIC FORTE,PARACETAMOL
MIRAPECT,AMBROXOL HYDROCHLORIDE
OBH SEKAR,AMMONIUM CHLORIDE
OBH SEKAR,SUCCUS LIQUIRITIAE
"CARBIDU 0,5",DEXAMETHASONE
KOFIREN,CHLORPHENAMINE MALEATE
MIRAVON,BROMHEXINE HYDROCHLORIDE
MIKAZOL,MICONAZOLE NITRATE
PROAST,SALBUTAMOL SULFATE
BROADAPEN,AMPICILLIN TRIHYDRATE
GUAMIN,PROMETHAZINE HYDROCHLORIDE
GUAMIN,GUAIFENESIN
MIRACORT,HYDROCORTISONE ACETATE
PURINIC 100,ALLOPURINOL
MIRAFLOX 500,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
MIRANEURO,THIAMINE HYDROCHLORIDE
MIRANEURO,CYANOCOBALAMIN
MIRANEURO,PYRIDOXINE HYDROCHLORIDE
ALERZIN 10,CETIRIZINE HYDROCHLORIDE
CARDIPIN 10,AMLODIPINE BESILATE
CARMESON 8,METHYLPREDNISOLONE
ALERZIN,CETIRIZINE HYDROCHLORIDE
MEXON,DEXAMETHASONE
MEXON,DEXCHLORPHENIRAMINE MALEATE
CORTAVAS 10,SIMVASTATIN
CORTAVAS 20,SIMVASTATIN
TENSIFOR 16,CANDESARTAN CILEXETIL
BISOPHAR 5,BISOPROLOL FUMARATE
LYRIGAD 75,PREGABALIN
LYRIGAD 150,PREGABALIN
DERMASOLON,FLUOCINOLONE ACETONIDE
IKANEURON PLUS,METAMIZOLE SODIUM
IKANEURON PLUS,THIAMINE MONONITRATE
IKANEURON PLUS,PYRIDOXINE HYDROCHLORIDE
IKANEURON PLUS,CYANOCOBALAMIN
IKADRYL FLU,SODIUM CITRATE DIHYDRATE
IKADRYL FLU,AMMONIUM CHLORIDE
IKADRYL FLU,PSEUDOEPHEDRINE HYDROCHLORIDE
IKADRYL FLU,PARACETAMOL
IKADRYL FLU,DIPHENHYDRAMINE HYDROCHLORIDE
HYPERCHOL 200 M,FENOFIBRATE
IRTAN PLUS,HYDROCHLOROTHIAZIDE
IRTAN PLUS,IRBESARTAN
IRTAN 300,IRBESARTAN
BIOQUIN,HYDROQUINONE
LOPROLOL,METOPROLOL TARTRATE
ASTIKA,ACETYLSALICYLIC ACID
UTERGIN,METHYLERGOMETRINE MALEATE
LACTULOSE,LACTULOSE
IKAPHEN,PHENYTOIN SODIUM
CLOZAPINE,CLOZAPINE
PROBIO C,ASCORBIC ACID
IKAQUIX,LEVOFLOXACIN HEMIHYDRATE
CLINIKA,CLINDAMYCIN PHOSPHATE
IRBESARTAN,IRBESARTAN
"TRENTIN 0,1%",TRETINOIN
CIPROBIOTIC,CIPROFLOXACIN LACTATE
IKACETAMOL,PARACETAMOL
ULSICRAL,SUCRALFATE
SALDONA,CARBAZOCHROME SODIUM SULFONATE
GLUCOTIKA,METFORMIN HYDROCHLORIDE
IRTAN 150,IRBESARTAN
LACTULAX,LACTULOSE
IKANEURON,THIAMINE MONONITRATE
IKANEURON,PYRIDOXINE HYDROCHLORIDE
IKANEURON,CYANOCOBALAMIN
BROMIKA,BROMHEXINE HYDROCHLORIDE
IKADERM,CLOBETASOL PROPIONATE
IKAGEN,GENTAMICIN SULFATE
LACTULAX (RASA COKLAT),LACTULOSE
EDEMIN,FUROSEMIDE
ZOLORAL - SS,KETOCONAZOLE
ZOLORAL,KETOCONAZOLE
BACTODERM,MUPIROCIN
BIOQUIN FORTE,HYDROQUINONE
IKANEURON 5000,PYRIDOXINE HYDROCHLORIDE
IKANEURON 5000,THIAMINE MONONITRATE
IKANEURON 5000,CYANOCOBALAMIN
IKAMICETIN,CHLORAMPHENICOL
OBH DRYL,DIPHENHYDRAMINE HYDROCHLORIDE
OBH DRYL,AMMONIUM CHLORIDE
OBH DRYL,SUCCUS LIQUIRITIAE
IKANEURON,THIAMINE HYDROCHLORIDE
VITAMIN B1,THIAMINE HYDROCHLORIDE
PYRIDOXINE HCL,PYRIDOXINE HYDROCHLORIDE
DOMETA,DOMPERIDONE
ALERNITIS,LORATADINE
CLODERM,ALCLOMETASONE DIPROPIONATE
IKADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
IKADRYL,AMMONIUM CHLORIDE
IKANEURON 5000,THIAMINE HYDROCHLORIDE
CYANOCOBALAMIN,CYANOCOBALAMIN
METIFER,MECOBALAMIN
VADAZOL,METRONIDAZOLE
AGRELANO,CLOPIDOGREL BISULFATE
PAPAVERINE HCL,PAPAVERINE HYDROCHLORIDE
AV F AZA,AZELAIC ACID
DOMETA,DOMPERIDONE MALEATE
IKALEP,SODIUM VALPROATE
PROVASK 5,AMLODIPINE BESILATE
PROVASK 10,AMLODIPINE BESILATE
IKALEP ER,DIVALPROEX SODIUM
RENOGUARD,ALPHA-KETO-ISOLEUCIN CALCIUM
RENOGUARD,ALPHA-KETO-LEUCINE CALCIUM
RENOGUARD,ALPHA-KETO-PHENYLALANINE CALCIUM
RENOGUARD,ALPHA-KETO-VALINE CALCIUM
RENOGUARD,ALPHA-HYDROXY METHIONINE CALCIUM
RENOGUARD,LYSINE ACETATE
RENOGUARD,THREONINE
RENOGUARD,TRYPTOPHAN
RENOGUARD,HISTIDINE
RENOGUARD,TYROSINE
METIFER 500,MECOBALAMIN
HYPERCHOL 300,FENOFIBRATE
VITAMIN B COMPLEX,NICOTINAMIDE
VITAMIN B COMPLEX,PYRIDOXINE HYDROCHLORIDE
VITAMIN B COMPLEX,RIBOFLAVIN SODIUM PHOSPHATE
VITAMIN B COMPLEX,LIDOCAINE HYDROCHLORIDE
VITAMIN B COMPLEX,THIAMINE HYDROCHLORIDE
VITAMIN B COMPLEX,DEXPANTHENOL
BACTODERM,MUPIROCIN CALCIUM
MUPIROCIN CALCIUM,MUPIROCIN CALCIUM
MEXTRIL,DEXCHLORPHENIRAMINE MALEATE
NEMDATINE,MEMANTINE HYDROCHLORIDE
ACTABONE,CLODRONATE DISODIUM TETRAHYDRATE
APOLAR,DESONIDE
LONGATIN,NOSCAPINE
PLACTA,CLOPIDOGREL BISULFATE
BRONCHO VAXOM ADULTS,KOMBINASI-BACTERIAL LYSATES
BRONCHO-VAXOM CHILDREN,KOMBINASI-BACTERIAL LYSATES
ACTONEL ONCE-A-MONTH,RISEDRONATE SODIUM
ACTONEL ONCE-A-WEEK,RISEDRONATE SODIUM
ACTAGEF,GEFITINIB
DUMIN,PARACETAMOL
ACTACORT,BUDESONIDE
DUMOLID,NITRAZEPAM
BLOKTIENE,MONTELUKAST SODIUM
COLISTINE ACTAVIS,COLISTIN SULFATE
DOMINAL,DOMPERIDONE
STESOLID,DIAZEPAM
BRALTUS,TIOTROPIUM BROMIDE
STESOLID 2,DIAZEPAM
STESOLID 5,DIAZEPAM
RECTOLAX,SODIUM LAURYL SULFOACETATE
RECTOLAX,SODIUM CITRATE DIHYDRATE
RECTOLAX,MACROGOL 400
BIOMEX,THIAMINE MONONITRATE
BIOMEX,CYANOCOBALAMIN
BIOMEX,PYRIDOXINE HYDROCHLORIDE
ACRIOS,ACARBOSE
GEMTAVIS,GEMCITABINE HYDROCHLORIDE
ACTATECAN,IRINOTECAN HYDROCHLORIDE TRIHYDRATE
CYGEST,PROGESTERONE
ACNOPAIN 60,ETORICOXIB
ACNOPAIN 120,ETORICOXIB
ACNOPAIN 90,ETORICOXIB
DEPREZAC,FLUOXETINE HYDROCHLORIDE
COPAXONE,GLATIRAMER ACETATE
DUMIN FORTE,PARACETAMOL
ACTAPROS,TAMSULOSIN HYDROCHLORIDE
ACTABET,PIOGLITAZONE HYDROCHLORIDE
MUCTRIEN,ERDOSTEINE
DEFLAMAT 100 CR,KOMBINASI-PELLET DICLOFENAC SODIUM
AZILECT,RASAGILINE MESYLATE
BRONCHO VAXOM CHILDREN,KOMBINASI-BACTERIAL LYSATES
ZIREA,ZINC SULFATE HEPTAHYDRATE
CHLORAMEX,CHLORAMPHENICOL
ANTILEP,LEVETIRACETAM
DUMOCYCLINE,TETRACYCLINE HYDROCHLORIDE
DOPAMET,METHYLDOPA SESQUIHYDRATE
ALPENTIN,GABAPENTIN
PLAXAT,OXALIPLATIN
LEVETIRACETAM,LEVETIRACETAM
LEZRA,LETROZOLE
APOLAR N,DESONIDE
APOLAR N,NEOMYCIN SULFATE
OLANZAPINE,OLANZAPINE
GREEN VIII,HUMAN COAGULATION FACTOR VIII
ALBUMIN INJ. 20% - GCC,HUMAN ALBUMIN
CRYPTAL,FLUCONAZOLE
ZIFIN 500,AZITHROMYCIN DIHYDRATE
GCFLU QUADRIVALENT NH,"A/VICTORIA/2570/2019 (H1N1) PDM09 - LIKE VIRUS (A/VICTORIA/2570/2019, IVR-215)"
GCFLU QUADRIVALENT NH,"A/CAMBODIA/E0826360/2020 (H3N2)-LIKE VIRUS (A/CAMBODIA/E0826360/2020, IVR-224)"
GCFLU QUADRIVALENT NH,"B/WASHINGTON/02/2019 - LIKE VIRUS (B/WASHINGTON/02/2019, WILD TYPE)"
GCFLU QUADRIVALENT NH,"B/PHUKET/3073/2013 - LIKE VIRUS (B/PHUKET/3073/2013, WILD TYPE)"
"VILENA 2,5",LENALIDOMIDE
"FARCOR 7,5",IVABRADINE HYDROCHLORIDE
FARCOR 5,IVABRADINE HYDROCHLORIDE
VILENA 5,LENALIDOMIDE
"VILENA 7,5",LENALIDOMIDE
VILENA 10,LENALIDOMIDE
VILENA 15,LENALIDOMIDE
VILENA 20,LENALIDOMIDE
VILENA 25,LENALIDOMIDE
ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE
INPEPSA,SUCRALFATE SUSPENSION
TICAGRELOR,TICAGRELOR
CLOTAIRE,TICAGRELOR
CARPIATON 25,SPIRONOLACTONE
RUVASTIN 10,ROSUVASTATIN CALCIUM
RUVASTIN 20,ROSUVASTATIN CALCIUM
RUVASTIN 40,ROSUVASTATIN CALCIUM
OCTREOTIDE ACETATE,OCTREOTIDE ACETATE
INOTROP,DOBUTAMINE HYDROCHLORIDE
UMARONE,SODIUM HYALURONATE
FARNELTIK,HYDROXYCHLOROQUINE SULFATE
CYPRODIOL,ETHINYLESTRADIOL
CYPRODIOL,CYPROTERONE ACETATE
CELCOX 200,CELECOXIB
CELCOX 100,CELECOXIB
FARMACROL FORTE,SIMETHICONE EMULSION 30%
FARMACROL FORTE,MAGNESIUM HYDROXIDE
FARMACROL FORTE,DRIED ALUMINIUM HYDROXIDE GEL
THROMBOFLASH,HEPARIN SODIUM
MIDATRO,IPRATROPIUM BROMIDE MONOHYDRATE
VANCEP,VANCOMYCIN HYDROCHLORIDE
IRBOSYD,MEBEVERINE HYDROCHLORIDE
SULFITIS,SULFASALAZINE
"RONEM 0,5",MEROPENEM TRIHYDRATE BUFFERED SODIUM CARBONATE
ONETIC 8,ONDANSETRON HYDROCHLORIDE DIHYDRATE
FARBIVENT,IPRATROPIUM BROMIDE MONOHYDRATE
FARBIVENT,SALBUTAMOL SULFATE
FARBION 5000,THIAMINE HYDROCHLORIDE
FARBION 5000,PYRIDOXINE HYDROCHLORIDE
FARBION 5000,CYANOCOBALAMIN
RENADINAC 50,DICLOFENAC SODIUM
CIMANTIN,MEMANTINE HYDROCHLORIDE
RENADINAC 25,DICLOFENAC SODIUM
SHAROX 750,CEFUROXIME SODIUM
MIERIN,EZETIMIBE
FARLOSIN SR,TAMSULOSIN HYDROCHLORIDE
RESFAR,ACETYLCYSTEINE
RIVAROXABAN,RIVAROXABAN
NOSTROK 20,RIVAROXABAN
NOSTROK 15,RIVAROXABAN
NOSTROK 10,RIVAROXABAN
RENAPEPSA,FAMOTIDINE
RONEM 1,MEROPENEM TRIHYDRATE BUFFERED WITH SODIUM CARBONATE
ONETIC 4,ONDANSETRON HYDROCHLORIDE DIHYDRATE
AMLATOR,AMLODIPINE BESILATE
AMLATOR,ATORVASTATIN CALCIUM TRIHYDRATE
GENALSIK 80,FEBUXOSTAT
NELANDOZ,DIENOGEST
CRYPTAL 200,FLUCONAZOLE
PLANIBU,MEDROXYPROGESTERONE ACETATE
I.V.-GLOBULIN SN,HUMAN NORMAL IMMUNOGLOBULIN
FARPAIN,KETOROLAC TROMETAMOL
ACARBOSE,ACARBOSE
FAPRESOR,METOPROLOL TARTRATE
BIPRO,BISOPROLOL FUMARATE
CLATAX 1,CEFOTAXIME SODIUM
FARSORBID 10,KOMBINASI-ISOSORBIDE DINITRATE 40 WITH LACTOSE
"BIPRO 2,5",BISOPROLOL FUMARATE
FARLEV,LEVOFLOXACIN HEMIHYDRATE
PREGVOMIT,PYRATHIAZINE THEOCLATE
PREGVOMIT,PYRIDOXINE HYDROCHLORIDE
PRATROPIL 800,PIRACETAM
RENALYTE,SODIUM CHLORIDE
RENALYTE,POTASSIUM CHLORIDE
RENALYTE,SODIUM CITRATE DIHYDRATE
RENALYTE,DEXTROSE MONOHYDRATE
GENALSIK 40,FEBUXOSTAT
MIOZIDINE MR,TRIMETAZIDINE DIHYDROCHLORIDE
LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE
L-FALERGI,LEVOCETIRIZINE DIHYDROCHLORIDE
GLUDEPATIC 500,METFORMIN HYDROCHLORIDE
FARTISON,HYDROCORTISONE SODIUM SUCCINATE
PREGTENOL,ALLYLESTRENOL
TRAMSET,PARACETAMOL
TRAMSET,TRAMADOL HYDROCHLORIDE
FARSORBID,ISOSORBIDE DINITRATE
FARHES,HYDROXYETHYL STARCH
RENAFOS,SEVELAMER CARBONATE
DURAFER,DEFERIPRONE
TRACETATE,MEGESTROL ACETATE
FARMABES 30,DILTIAZEM HYDROCHLORIDE
CALLUSOL,SALICYLIC ACID
CALLUSOL,LACTIC ACID
CALLUSOL,LAUROMACROGOLUM 400
FOCYN 1,FOSFOMYCIN SODIUM
FOCYN 2,FOSFOMYCIN SODIUM
SYNTERONE 250,ABIRATERONE ACETATE
SYNTERONE 500,ABIRATERONE ACETATE
ESTAZOR,URSODEOXYCHOLIC ACID
POMALID 1,POMALIDOMIDE
REBAL PLUS,THIAMINE DISULFIDE
REBAL PLUS,PYRIDOXINE HYDROCHLORIDE
REBAL PLUS,MECOBALAMIN
FARSIX 40,FUROSEMIDE
FARTOLIN EXPECTORANT,GUAIFENESIN
FARTOLIN EXPECTORANT,SALBUTAMOL SULFATE
PROHEM,PHYTOMENADIONE
RENAQUIL,LORAZEPAM
FALERGI,CETIRIZINE HYDROCHLORIDE
POMALID 2,POMALIDOMIDE
POMALID 3,POMALIDOMIDE
POMALID 4,POMALIDOMIDE
CARPIATON 100,SPIRONOLACTONE
GLUCATRON,GLICLAZIDE
CEFDITOREN PIVOXIL,CEFDITOREN PIVOXIL
TAFOXIL,CEFDITOREN PIVOXIL
DASNIB 140,DASATINIB
OSTRIOL,CALCITRIOL
DASNIB 20,DASATINIB
DASNIB 50,DASATINIB
DASNIB 70,DASATINIB
DASNIB 80,DASATINIB
DASNIB 100,DASATINIB
SIMARC 2,WARFARIN SODIUM CLATHRATE
ZIBAC,CEFTAZIDIME PENTAHYDRATE BUFFERED WITH SODIUM CARBONATE
FARMASAL,ACETYLSALICYLIC ACID
STABACTAM,CEFOPERAZONE SODIUM
STABACTAM,SULBACTAM SODIUM
SYSMUCO,REBAMIPIDE
STABIXIN-1,CEFOPERAZONE SODIUM
TENSILO,NICARDIPINE HYDROCHLORIDE
FARBION,THIAMINE DISULFIDE
FARBION,PYRIDOXINE HYDROCHLORIDE
FARBION,CYANOCOBALAMIN
OCTIDE,OCTREOTIDE ACETATE
CALSIVAS 10,AMLODIPINE BESILATE
"BUNASCAN 0,5%",BUPIVACAINE HYDROCHLORIDE MONOHYDRATE
FARMADRAL 10,PROPRANOLOL HYDROCHLORIDE
CALSIVAS 5,AMLODIPINE BESILATE
ZOLMIA,ZOLPIDEM TARTRATE
LUPRED,PREDNISOLONE
SPIRONOLACTONE,SPIRONOLACTONE
PARECOXIB SODIUM,PARECOXIB SODIUM
NEOPTIX,PARECOXIB SODIUM
FARNAT,METRONIDAZOLE
RECOLFAR,COLCHICINE
"BUNASCAN SPINAL 0,5 % HEAVY",BUPIVACAINE HYDROCHLORIDE MONOHYDRATE
"BUNASCAN SPINAL 0,5 % HEAVY",DEXTROSE MONOHYDRATE
SOTATIC 10,METOCLOPRAMIDE HYDROCHLORIDE MONOHYDRATE
XOLMETRAS 300,IOHEXOL
FARMADOL,PARACETAMOL
Y-RINS,WITCH HAZEL
FIXACEP 200,CEFIXIME TRIHYDRATE
VOLTERI,CANDESARTAN CILEXETIL
VOLTERI,AMLODIPINE BESILATE
MONECTO 20,ISOSORBIDE MONONITRATE
REPROSTOM,FINASTERIDE
GRANISETRON HCL,GRANISETRON HYDROCHLORIDE
RENAPAR,POTASSIUM HYDROGEN ASPARTATE HEMIHYDRATE
RENAPAR,MAGNESIUM ASPARTATE DIHYDRATE
EXABET,BETAMETHASONE
FARPRESIN,ARGIPRESSIN
VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE
HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE
GASTRUL,MISOPROSTOL DISPERSION HPMC
DIENOGEST,DIENOGEST
FARGOXIN,DIGOXIN
GARENA,MOXIFLOXACIN HYDROCHLORIDE
FOSEN,SODIUM DIHYDROGEN PHOSPHATE MONOHYDRATE
FOSEN,DISODIUM HYDROGEN PHOSPHATE ANHYDROUS
"ISOTIC ADRETOR 0,5 %",TIMOLOL MALEATE
ASPIL-1,CEFOTIAM HYDROCHLORIDE
INVICLOT,HEPARIN SODIUM
"VOPICAIN 0,50 %",LEVOBUPIVACAINE HYDROCHLORIDE MONOHYDRATE
NEUROLIN 500,CITICOLINE SODIUM
PRALAX,LACTULOSE SOLUTION
BLOREC,CARVEDILOL
FENDEX,DEXKETOPROFEN TROMETAMOL
FARMADOL 50,PARACETAMOL
CALCET 30,CINACALCET HYDROCHLORIDE
CALCET 60,CINACALCET HYDROCHLORIDE
CALCET 90,CINACALCET HYDROCHLORIDE
FARMAVON,BROMHEXINE HYDROCHLORIDE
SHAROX 500,CEFUROXIME AXETIL
GABAXA 100,L-ALANYL-L-GLUTAMINE
NOKOBA,NALOXONE HYDROCHLORIDE
